,label,name,price,img,loc
52,세럼/앰플,바이브랩 리바이브 테라피 헤어 브로우 래쉬 세럼 (헤어라인 겸용),19900,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0018/A00000018343301ko.jpg?l=ko,D-584
53,세럼/앰플,그로우어스 리커버 테라피 헤어 부스터 세럼 15ml,24000,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0017/A00000017064105ko.jpg?l=ko,D-911
54,세럼/앰플,올라플렉스 No.9 본드 프로텍터 너리싱 헤어 세럼 90ml,43000,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0018/A00000018535701ko.jpg?l=ko,D-634
55,세럼/앰플,클로란 퀴닌 에델바이스 두피 세럼 100ml+샴푸 100ml 기획,32000,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0016/A00000016997315ko.jpg?l=ko,D-721
56,세럼/앰플,바이브랩 리바이브 테라피 헤어 스칼프 앤 브로우 앰플,22800,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0018/A00000018343201ko.jpg?l=ko,D-639
57,세럼/앰플,[앰플트리트먼트100ml 추가] 닥터그루트 탈모증상 집중케어 힘없는 모발용 샴푸 400ml기획,25900,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0018/A00000018241115ko.jpg?l=ko,D-919
58,세럼/앰플,엘라스틴 프로폴리테라 인텐시브 앰플트리트먼트 250ml,24900,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0016/A00000016347501ko.jpg?l=ko,D-573
59,트리트먼트,[한정기획] 라보에이치 탈모케어 스칼프 캡슐트리트먼트 2입 기획,16000,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0017/A00000017044511ko.jpg?l=ko,E-797
60,트리트먼트,[고윤정PICK] 려 루트젠 여성맞춤 탈모전문케어 트리트먼트 353ml,17900,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0018/A00000018349406ko.jpg?l=ko,E-947
61,트리트먼트,루톤 여성두피용 알파 에르겐 트리트먼트 500ml(두피&모발 듀얼케어),22400,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0016/A00000016176401ko.jpg?l=ko,E-945
62,트리트먼트,라보에이치 두피 트리트먼트 200ml (탈모케어),11200,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0015/A00000015429604ko.jpg?l=ko,E-670
63,트리트먼트,[NEW] 닥터그루트 밀도케어 모발밀도강화 탈모증상완화 샴푸 400ml / 트리트먼트 300ml,25000,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0018/A00000018501803ko.jpg?l=ko,E-751
64,트리트먼트,달리프 워터트리트먼트 더블 기획 (200ml+200ml)(탈모증상완화),18800,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0012/A00000012839814ko.jpg?l=ko,E-824
65,트리트먼트,달리프 릴렉싱 트리트먼트 230ml+100ml 증정기획,19000,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0017/A00000017396001ko.jpg?l=ko,E-951
66,트리트먼트,라우쉬 윌로우바크 트리트먼트 샴푸 200ml (두피 활력 샴푸),26000,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0001/A00000001289621ko.jpg?l=ko,E-931
67,트리트먼트,박준뷰티랩 헤어로스 LPP 트리트먼트 500ml (탈모증상완화),13900,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0016/A00000016098309ko.jpg?l=ko,E-887
68,트리트먼트,[두피케어] 닥터포헤어 피토테라피 트리트먼트 500ml,18900,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0016/A00000016427704ko.jpg?l=ko,E-604
69,트리트먼트,닥터방기원 랩 탈모트리트먼트 1000ml,15900,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0014/B00000014882307ko.jpg?l=ko,E-818
70,트리트먼트,다슈 데일리 안티헤어로스 단백질 트리트먼트 500ml,13400,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0010/A00000010998705ko.jpg?l=ko,E-799
71,머릿결 관리,[1&1] 어노브 실크 오일 에센스 더블 기획세트 (70ml+70ml),25900,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0017/A00000017142211ko.jpg?l=ko,A-552
72,머릿결 관리,[1등 집착헤어팩]어노브 딥 데미지 트리트먼트 EX (본품207ml+100ml 추가 증정),14900,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0015/A00000015416944ko.jpg?l=ko,A-509
73,머릿결 관리,[한정기획] 힐링버드 노워시 트리트먼트 단독 기획 3종 (오리지널/라이트/슈퍼모이스처) 중 택 1,17500,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0017/A00000017986619ko.jpg?l=ko,A-756
74,머릿결 관리,[NEW 한정]어노브 대용량 딥 데미지 트리트먼트 EX 1&1 기획세트 (320ml+320ml),28500,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0017/A00000017142343ko.jpg?l=ko,A-514
75,머릿결 관리,[한정기획] 힐링버드 울트라 프로틴 퍼스트 헤어팩 330ml+리필 200ml 증정 기획,19300,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0017/A00000017986709ko.jpg?l=ko,A-628
76,머릿결 관리,[단독기획] 어노브 노워시 워터 앰플 트리트먼트 200ml+50ml증정 기획(뿌리는 헤어팩),19900,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0017/A00000017142507ko.jpg?l=ko,A-944
77,머릿결 관리,어노브 볼륨 업 컬링 에센스 147ml (수분 컬크림),13900,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0015/A00000015418907ko.jpg?l=ko,A-841
78,머릿결 관리,어노브 히팅 가드 노워시 트리트먼트 147ml (극손상모 헤어팩),13900,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0015/A00000015419005ko.jpg?l=ko,A-558
79,머릿결 관리,[1+1 기획] 힐링버드 울트라 프로틴 데미지케어 트리트먼트 200ml+200ml 한정기획,14300,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0017/A00000017933408ko.jpg?l=ko,A-892
80,머릿결 관리,[15ml증량]] 실크테라피 에센스 160KT(130+15+15) 오리지널/모이스쳐 2종 택 1,25900,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0017/A00000017895015ko.jpg?l=ko,A-995
81,머릿결 관리,어노브 실크 오일 에센스 70ml (단백질 헤어 에센스),19000,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0015/A00000015418806ko.jpg?l=ko,A-629
82,머릿결 관리,트리셀 포르테 앰플 트리트먼트 기획세트 (200ml+200ml),23800,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0017/A00000017173505ko.jpg?l=ko,A-852
83,머릿결 관리,[디오디너리] 헤어 케어 멀티-펩타이드 세럼 포 헤어 덴시티 30ml,16200,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0017/A00000017929301ko.jpg?l=ko,A-571
84,머릿결 관리,모레모 프로틴 미스트팩 M 115ml 더블기획세트 (본품+리필),21300,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0018/A00000018126606ko.jpg?l=ko,A-696
85,머릿결 관리,포뷰트 미스트 헤어 에센스 110ml,18000,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0018/A00000018507604ko.jpg?l=ko,A-545
86,머릿결 관리,[NEW] 쿤달 허니 앤 마카다미아 헤어트리트먼트 200ml 4종 택1,6900,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0017/A00000017947201ko.jpg?l=ko,A-536
87,머릿결 관리,엘라스틴 프로폴리테라 샴푸 500ml / 트리트먼트 300ml 3종 택 1,22900,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0018/A00000018037306ko.jpg?l=ko,A-963
88,머릿결 관리,[카즈하 PICK] 아도르 퍼펙트 헤어필업 듀오 100ml+100ml (생크림 트리트먼트),23800,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0018/A00000018065810ko.jpg?l=ko,A-718
89,머릿결 관리,[한소희PICK]로레알파리 헤어오일 인 펄 세럼 50ml,24900,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0018/A00000018042104ko.jpg?l=ko,A-620
90,머릿결 관리,엘라스틴 프로폴리테라 손상된모발용 샴푸500ml,22900,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0018/A00000018037006ko.jpg?l=ko,A-715
91,머릿결 관리,[탈모케어]닥터포헤어 폴리젠 실크 샴푸 300ml,22000,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0015/A00000015459002ko.jpg?l=ko,A-724
92,머릿결 관리,[한정기획]루톤 여성 두피용 림피오 리바이벌 캡슐크림13ml 6+2개입증정기획,23000,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0017/A00000017074902ko.jpg?l=ko,A-770
93,머릿결 관리,탱글엔젤 런던부케 오일세럼 1+1 기획세트 100ml*2,32000,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0017/A00000017965205ko.jpg?l=ko,A-856
94,머릿결 관리,엘라스틴 프로폴리테라 힘없는모발용 샴푸500ml,22900,https://image.oliveyoung.co.kr/uploads/images/goods/10/0000/0018/A00000018036905ko.jpg?l=ko,A-596
